accx,accy,accz
-0.1762,1.3767,0.2996
-0.2145,1.2448,0.3296
-0.162,1.0645,0.1969
0.1169,0.5499,-0.3355
0.1169,0.5499,-0.3355
0.1189,0.4656,-0.2947
-0.0215,0.6804,-0.0844
-0.1283,1.3628,0.1288
-0.127,1.3926,0.1268
-0.1016,1.2499,0.1279
-0.0399,1.0696,-0.0448
-0.0415,1.0021,-0.1039
-0.0904,0.8959,-0.1039
-0.1174,0.7747,0.1889
-0.1174,0.7747,0.1889
-0.0552,0.8001,0.2224
-0.0225,0.8651,0.1845
0.0094,0.9369,0.0629
0.0106,0.998,0.0362
0.0106,0.998,0.117
0.0092,0.997,0.1743
-0.0184,0.9685,0.2146
-0.0743,0.9682,0.2148
-0.0746,0.9685,0.2146
-0.0758,1.0379,0.109
-0.0753,1.0673,0.1076
-0.0511,1.0676,0.1073
-0.0506,1.0671,0.1759
-0.0222,1.0425,0.2453
-0.0574,1.041,0.2468
-0.0594,1.1781,0.2473
-0.0597,1.3298,0.247
-0.0574,1.5218,0.2468
-0.0511,1.255,0.0841
-0.024,1.0461,-0.247
-0.0601,0.7911,-0.284
-0.1153,0.5623,-0.2097
-0.1435,0.5343,-0.0184
-0.1146,0.816,0.0171
-0.0435,1.1532,0.0174
-0.0443,1.3284,-0.0257
-0.1754,1.2315,-0.0543
-0.2121,1.0183,-0.1247
-0.1468,0.8607,-0.1254
-0.0645,0.8172,0.0958
-0.0369,0.8189,0.1626
-0.0638,0.8563,0.1948
-0.1286,0.9166,0.1403
-0.1298,0.9179,0.1053
-0.1298,0.9179,0.1053
-0.129,0.9171,0.1061
-0.1295,0.9176,0.1312
-0.1288,0.9169,0.1319
-0.1021,0.89,0.1317
-0.1029,0.8922,0.131
-0.1322,0.8922,0.131
-0.1342,0.9773,0.1315
-0.098,1.1334,0.131
-0.0985,1.1314,0.1009
-0.0706,1.1329,0.0709
-0.0408,1.1045,0.0697
-0.0406,1.1043,0.1081
-0.1044,1.2257,0.2405
-0.2018,1.4038,0.2942
-0.2392,1.3774,0.2935
-0.2385,1.3174,0.2942
-0.1684,1.173,0.0218
-0.0318,0.857,-0.1582
-0.0024,0.7823,-0.0983
0.0309,0.6415,0.0057
0.0297,0.5695,0.0066
0.0292,0.5968,-0.0529
0.0292,0.9678,-0.0986
0.0292,1.1099,-0.0986
0.0311,1.3027,-0.0991
0.0309,1.3005,-0.028
-0.034,1.2096,-0.0297
-0.0921,0.9706,-0.0035
-0.0926,0.8423,0.0599
-0.0914,0.8057,0.0907
-0.0633,0.8074,0.089
-0.0298,0.838,0.0907
-0.0059,0.8996,0.0902
-0.0047,0.932,0.1154
-0.004,0.9313,0.1161
-0.0059,0.9308,0.1166
-0.0054,0.9303,0.117
-0.0054,0.9303,0.117
-0.0061,0.931,0.1163
-0.0313,0.9567,0.1156
-0.0073,0.9572,0.143
0.0201,1.0117,0.1461
0.0201,1.0117,0.1461
-0.0108,1.0371,0.2102
-0.0382,1.0654,0.2092
-0.0926,1.0081,0.2085
-0.1256,1.0952,0.2097
-0.1256,1.0952,0.2097
-0.1246,1.3254,0.2426
-0.0985,1.4126,0.2444
-0.0161,1.1723,0.1223
-0.045,1.0847,-0.1091
-0.045,1.0847,-0.1091
-0.1012,0.9618,-0.1091
-0.13,0.761,-0.1086
-0.1577,0.5814,-0.1093
-0.1833,0.893,-0.0108
-0.1508,1.0505,-0.0101
-0.0809,1.2052,-0.0111
-0.0384,1.3501,-0.0101
-0.1174,1.033,-0.1611
-0.1165,0.8798,-0.1342
-0.1165,0.8798,-0.1342
-0.0843,0.8805,0.0643
-0.0853,0.8558,0.0912
-0.1361,0.8553,0.1291
-0.1647,0.8824,0.1298
-0.1647,0.8824,0.1298
-0.1915,0.8824,0.0727
-0.1915,0.911,0.0462
-0.1926,0.912,0.0452
-0.1933,0.9128,0.1068
-0.1376,0.9424,0.1366
-0.1376,0.9424,0.1366
-0.1088,0.9773,0.1361
-0.1093,1.0085,0.1356
-0.1371,1.0095,0.1626
-0.1371,1.0095,0.1626
-0.1368,1.0093,0.1628
-0.1354,1.0833,0.1642
-0.0787,1.1766,0.1647
-0.0501,1.1773,0.2248
-0.0518,1.2785,0.2248
-0.181,1.4309,0.2227
-0.2504,1.3078,0.1992
-0.1461,1.1495,-0.0367
-0.0149,0.9179,-0.2625
0.0578,0.5888,-0.3071
0.0898,0.5273,-0.2507
0.0597,0.5632,-0.058
-0.0552,0.7838,0.0061
-0.1454,1.0871,0.0343
-0.048,1.2315,-0.058
-0.048,1.2315,-0.058
-0.0135,1.1532,-0.1555
-0.0142,0.9963,-0.1569
-0.0545,0.8702,-0.0558
-0.1068,0.8055,0.1635
