accx,accy,accz
-0.0017,1.0049,0.0271
-0.0005,1.0037,0.0284
-0.0015,1.0046,0.0274
-0.0012,1.0044,0.0277
-0.0012,1.0044,0.0277
-0.0012,1.0044,0.0277
-0.0017,1.0049,0.0271
0.0001,1.0053,0.0267
0.0003,1.0051,0.0269
-0.0012,1.0044,0.0277
-0.0012,1.0044,0.0277
-0.0017,1.0049,0.0271
-0.0017,1.0049,0.0271
-0.0012,1.0044,0.0277
-0.0005,1.0037,0.0284
0.0001,1.0053,0.0267
-0.0012,1.0044,0.0277
0.0001,1.0053,0.0267
0.0001,1.0053,0.0267
-0.0012,1.0044,0.0277
-0.0012,1.0044,0.0277
-0.001,1.0041,0.0279
-0.0012,1.0044,0.0277
-0.0012,1.0044,0.0277
0.0003,1.0051,0.0269
0.0003,1.0051,0.0269
0.0001,1.0053,0.0267
-0.0012,1.0044,0.0277
-0.001,1.0041,0.0279
0.0003,1.0051,0.0269
0.0001,1.0053,0.0267
-0.0007,1.0039,0.0282
0.0003,1.0051,0.0269
-0.0017,1.0049,0.0271
0.0003,1.0051,0.0269
-0.0017,1.0049,0.0271
-0.0005,1.0037,0.0284
-0.0015,1.0046,0.0274
-0.0017,1.0049,0.0271
0.0003,1.0051,0.0269
-0.0015,1.0046,0.0274
-0.0012,1.0044,0.0277
-0.001,1.0041,0.0279
-0.0017,1.0049,0.0271
-0.0012,1.0044,0.0277
0.0001,1.0053,0.0267
-0.0015,1.0046,0.0274
0.0001,1.0053,0.0267
-0.0015,1.0046,0.0274
-0.0015,1.0046,0.0274
0.0003,1.0051,0.0269
-0.0017,1.0049,0.0271
0.0003,1.0051,0.0269
0,1.0056,0.0264
0.0003,1.0051,0.0269
0,1.0056,0.0264
0.0003,1.0051,0.0269
0.0003,1.0051,0.0269
-0.001,1.0041,0.0279
0.0001,1.0053,0.0267
-0.0015,1.0046,0.0274
-0.0012,1.0044,0.0277
-0.0015,1.0046,0.0274
0,1.0056,0.0264
0,1.0056,0.0264
-0.0007,1.0039,0.0282
-0.0012,1.0044,0.0277
-0.0015,1.0046,0.0274
-0.0012,1.0044,0.0277
0,1.0056,0.0264
0.0003,1.0051,0.0269
0.0003,1.0051,0.0269
-0.001,1.0041,0.0557
-0.0012,1.0044,0.0555
-0.0015,1.0046,0.0553
-0.001,1.0041,0.0557
-0.0007,1.0039,0.056
-0.0012,1.0044,0.0555
-0.001,1.0041,0.0557
-0.001,1.0041,0.0557
-0.0017,1.0049,0.055
0.0003,1.0051,0.0548
-0.0017,1.0049,0.055
0.0003,1.0051,0.0548
-0.0012,1.0044,0.0555
0.0001,1.0053,0.0545
-0.0005,1.0037,0.0562
-0.0007,1.0039,0.056
0.0003,1.0051,0.0548
-0.0017,1.0049,0.055
-0.001,1.0041,0.0557
-0.001,1.0041,0.0557
0.0001,1.0053,0.0545
-0.0015,1.0046,0.0553
-0.0015,1.0046,0.0553
-0.001,1.0041,0.0557
0.0003,1.0051,0.0548
-0.0007,1.0039,0.0303
0,1.0056,0.0287
0.0003,1.0051,0.0291
-0.0012,1.0044,0.0599
-0.001,1.0041,0.0888
0,1.0056,0.0872
0.0003,1.0051,0.0548
-0.0003,1.0058,0.0541
-0.0017,1.0049,0.055
-0.0005,1.0037,0.0562
0.0003,1.0051,0.0548
0.0001,1.0053,0.0545
0.0001,1.0053,0.0545
-0.0015,1.0046,0.0553
-0.0003,1.0058,0.0541
