accx,accy,accz
0.0026,0.8045,-0.1953
0.0026,0.8045,-0.166
-0.0655,0.8043,-0.1357
-0.0948,0.8043,-0.1357
-0.1559,0.8043,-0.11
-0.185,0.804,-0.1098
-0.1835,0.8299,-0.1107
-0.154,0.8593,-0.1384
-0.12,0.9252,-0.1386
-0.0948,0.9545,-0.1379
-0.0435,1.0117,-0.1115
-0.0773,1.0764,-0.111
-0.1044,1.1434,-0.1112
-0.1391,1.2215,-0.1117
-0.2077,1.3298,-0.1119
-0.2483,1.5504,-0.111
-0.2483,1.5965,-0.111
-0.2178,1.557,-0.1408
-0.1476,1.3701,-0.3241
-0.119,1.1099,-0.4567
-0.0193,0.8189,-0.5339
0.0246,0.7911,-0.5314
0.0788,0.7532,-0.531
0.1071,0.8423,-0.5058
0.0675,0.9494,-0.5036
-0.0277,0.9783,-0.506
-0.0271,0.9552,-0.4669
-0.0262,0.9279,-0.4318
0.0008,0.8651,-0.3541
0.0013,0.8656,-0.3201
0.0008,0.8404,-0.2584
0.0015,0.8397,-0.2576
0.0318,0.8387,-0.2566
0.0568,0.8383,-0.2561
0.057,0.8087,-0.2559
0.0572,0.8085,-0.2556
0.057,0.7823,-0.2002
-0.001,0.7593,-0.1435
-0.0023,0.7605,-0.1447
-0.0019,0.7859,-0.1445
-0.0028,0.8255,-0.1452
-0.001,0.8497,-0.1435
0.0265,0.9142,-0.1428
0.0282,0.9415,-0.141
0.0519,0.9424,-0.1418
0.0529,0.9413,-0.1408
0.0523,0.9418,-0.1413
0.0536,0.9431,-0.1177
0.0516,0.9426,-0.0914
0.0516,0.9426,-0.0914
0.0536,0.9431,-0.0919
0.0854,0.9692,-0.0919
0.0849,1.0029,-0.0675
0.0851,1.1239,-0.0672
0.2107,1.351,-0.0663
0.2107,1.351,-0.0663
0.1718,1.5122,-0.1841
0.0495,1.6107,-0.3893
-0.0098,1.4588,-0.4552
-0.0582,1.3408,-0.4831
-0.0911,1.0908,-0.4834
-0.0926,0.9729,-0.4848
-0.0907,0.6415,-0.3842
-0.0926,0.8028,-0.3837
-0.0926,0.8028,-0.3837
-0.0916,0.9985,-0.4443
-0.0641,1.0974,-0.4713
-0.0645,1.098,-0.4967
-0.1242,0.934,-0.4978
-0.1242,0.934,-0.4978
-0.1813,0.8637,-0.4112
-0.2113,0.7911,-0.3365
-0.1828,0.7661,-0.2493
-0.1493,0.7668,-0.2251
-0.1095,0.7947,-0.2244
-0.1117,0.8189,-0.198
-0.0536,0.8206,-0.1673
0.0057,0.847,-0.1682
0.0055,0.8721,-0.1685
0.0055,0.8721,-0.1685
0.0055,0.8721,-0.1685
-0.0851,0.8189,-0.1342
-0.1447,0.7918,-0.1086
-0.1747,0.7926,-0.1093
-0.1999,0.764,-0.0851
-0.1999,0.7999,-0.0595
-0.1696,0.8327,-0.0585
-0.1432,0.8991,-0.059
-0.1117,0.952,-0.0592
-0.1125,1.0481,-0.0599
-0.1125,1.0481,-0.0599
-0.1139,1.0838,-0.059
-0.1725,1.2932,-0.0912
-0.2048,1.3517,-0.0917
-0.273,1.4647,-0.0914
-0.2749,1.5776,-0.0411
-0.2744,1.6369,-0.0414
-0.237,1.4001,-0.2691
-0.1589,1.0989,-0.5205
-0.1249,0.8739,-0.5571
-0.1246,0.7933,-0.5568
0.0013,0.7351,-0.4851
0.0788,0.838,-0.4834
0.047,0.9471,-0.4245
-0.0264,0.9758,-0.4259
-0.0264,0.9758,-0.4259
0.0106,0.9753,-0.3621
