accx,accy,accz
-0.1376,1.1432,0.1449
-0.0785,1.0579,0.1068
-0.0785,0.9252,0.0739
-0.0492,0.794,0.0482
0.004,0.792,0.0501
0.0055,0.8201,0.077
0.0311,0.934,0.1039
-0.0028,0.9611,0.1017
-0.0282,0.8101,0.1281
-0.0533,0.7368,0.1273
-0.054,0.7391,0.1266
-0.056,0.7386,0.0795
-0.0284,0.7628,0.0802
-0.0294,0.7368,0.1889
-0.0955,0.7024,0.3406
-0.1283,0.6701,0.3421
0.0568,1.0279,0.0995
0.0876,1.1539,0.024
0.0612,1.2199,0.0247
0.026,1.1451,0.0776
-0.0023,0.9706,0.3897
-0.0687,0.8072,0.403
0.166,0.9516,0.237
0.166,0.9516,0.237
0.2065,0.979,0.2688
0.114,0.9787,0.271
-0.2839,1.1723,-0.0199
-0.58,1.2711,-0.1855
-0.6562,1.365,-0.2933
-0.5104,1.5783,-0.328
-0.1908,1.4954,-0.1789
-0.1,1.1048,-0.1499
-0.2964,1.0065,-0.1203
-0.3345,1.0461,0.0306
-0.2165,1.2748,0.2898
-0.1577,1.3122,0.2901
-0.1982,1.1634,-0.0008
-0.303,1.0579,-0.1927
-0.1381,0.9963,0.0174
-0.034,0.998,0.1662
-0.2187,0.802,0.2534
-0.3734,0.7654,0.1633
-0.3734,0.7654,0.1633
-0.2627,1.0044,0.1273
-0.0471,1.2345,-0.0565
0.0223,1.167,-0.1611
-0.0794,0.8556,-0.0008
-0.0794,0.8556,-0.0008
-0.0782,0.7149,0.0675
-0.0455,0.6829,0.1557
-0.1029,0.7808,0.1186
-0.133,0.8106,0.0836
-0.133,0.8106,0.0836
-0.1319,0.812,0.0306
-0.1007,0.8101,0.0306
-0.0736,0.7221,0.1676
-0.0736,0.7244,0.2372
-0.0736,0.7244,0.2372
-0.034,0.7495,0.1838
-0.0335,0.7769,0.1156
-0.3308,0.8907,0.2351
-0.4425,1.0337,0.4389
-0.4012,1.0586,0.4667
0.0048,0.931,0.4647
0.2432,0.6511,0.4198
-0.0794,0.7405,-0.0082
-0.5551,1.4625,0.2006
-0.5551,1.4625,0.2006
-0.3631,1.8304,0.2971
0.3082,1.7439,0.12
0.5471,1.0117,-0.5691
0.0392,1.0073,0.2835
-0.2436,1.1912,0.5248
-0.4738,1.4332,0.5244
-0.495,1.7505,0.3084
-0.0572,1.1524,-0.4177
-0.0179,0.8674,-0.1789
-0.0173,0.802,0.1728
-0.0678,0.8033,0.3057
-0.0403,0.9084,0.0225
0.0292,0.9071,0.0231
0.0262,0.8497,0.0695
-0.0054,0.8204,0.0695
-0.0054,0.8204,0.0695
-0.0049,0.8627,0.0675
0.0218,0.9489,0.0699
-0.045,0.9499,0.099
-0.0713,0.923,0.0995
-0.0718,0.9492,0.1247
-0.0706,0.9504,0.1559
-0.0716,0.9489,0.1557
-0.0091,0.9499,0.1547
0.0187,0.9743,0.1845
-0.0569,1.0039,0.182
-0.0865,1.0335,0.1818
-0.087,0.9963,0.1813
-0.0883,0.9699,0.1801
-0.0631,1.0864,0.2087
-0.0631,1.0864,0.2087
0.0458,1.3848,0.178
0.0463,1.3526,0.0776
-0.0926,1.2499,-0.1269
-0.2798,1.03,0.0944
-0.2798,1.03,0.0944
-0.2793,1.0295,0.3003
-0.1381,0.9926,0.2263
-0.1134,0.8534,-0.0462
-0.1137,0.7698,-0.2119
-0.1393,0.8153,-0.2132
-0.1383,1.0835,-0.1293
-0.1403,1.1488,-0.1289
-0.1076,1.1763,-0.1303
-0.1083,1.0322,-0.1286
-0.1337,0.9443,-0.0917
-0.1622,0.9154,-0.0089
-0.1628,0.891,0.015
-0.1628,0.891,0.0509
-0.1324,0.89,0.0518
-0.1342,0.8917,0.0501
-0.1344,0.9179,0.0499
-0.1337,0.9191,0.0506
-0.133,0.9184,0.0189
-0.1335,0.9467,0.0179
-0.1335,0.9467,0.0179
-0.1593,0.9457,0.0189
-0.1337,0.8935,0.0426
-0.1088,0.8285,0.079
-0.1107,0.8287,0.1053
-0.1107,0.7987,0.1051
-0.1109,0.7989,0.1049
-0.1351,0.7987,0.1051
-0.1356,0.7992,0.1046
-0.1097,0.8001,0.1037
-0.1107,0.8265,0.1051
-0.1088,0.8966,0.1046
-0.1437,0.9347,0.1354
-0.1691,1.0037,0.1955
-0.1156,0.975,0.2348
-0.0846,0.9186,0.2612
